Formula,LTAMKey,AtomicNumber,Element,Electrons,SlotNumber,SlotOrientation,AlphaType,SlotSpin,AtomicSymbol,AtomCount,AtomOrder,AtomLabel,AtomCountNumber
V2PO5,T2Y1L,8,oxygen,T,2,Y,1,L,O,5,3,oxygen-4,4
V2PO5,T2Y1L,8,oxygen,T,2,Y,1,L,O,5,3,oxygen-5,5
Y3BrO4,B3Y1R,8,oxygen,B,3,Y,1,R,O,4,3,oxygen-1,1
Y3BrO4,B3Y1R,8,oxygen,B,3,Y,1,R,O,4,3,oxygen-2,2
Y3BrO4,B3Y1R,8,oxygen,B,3,Y,1,R,O,4,3,oxygen-3,3
Y3BrO4,B3Y1R,8,oxygen,B,3,Y,1,R,O,4,3,oxygen-4,4
ScPRu,T12Z1L,44,ruthenium,T,12,Z,1,L,Ru,1,3,ruthenium-1,1
CaSiPt,B15Y4R,78,platinum,B,15,Y,3,R,Pt,1,3,platinum-1,1
NbFeB,T2Y1A,5,boron,T,2,Y,1,A,B,1,3,boron-1,1
CsAlTe3,A2Y2A,13,aluminium,A,2,Y,2,A,Al,1,2,aluminium-1,1
Rb2PtCl6,T11Z3R,78,platinum,T,11,Z,3,R,Pt,1,2,platinum-1,1
ClLiO4,V1Z2V,17,chlorine,V,1,Z,2,V,Cl,1,1,chlorine-1,1
Cr2CuSe4,T16Z1L,34,selenium,T,16,Z,1,L,Se,4,3,selenium-1,1
Cr2CuSe4,T16Z1L,34,selenium,T,16,Z,1,L,Se,4,3,selenium-2,2
Cr2CuSe4,T16Z1L,34,selenium,T,16,Z,1,L,Se,4,3,selenium-3,3
Cr2CuSe4,T16Z1L,34,selenium,T,16,Z,1,L,Se,4,3,selenium-4,4
ZrAlPt,B17Z2R,78,platinum,B,17,Z,2,R,Pt,1,3,platinum-1,1
KTaO3,B10Z3R,73,tantalum,B,10,Z,3,R,Ta,1,2,tantalum-1,1
ZrMnP,V3Y2V,15,phosphorus,V,3,Y,2,V,P,1,3,phosphorus-1,1
InGaSe2,B10Z2R,31,gallium,B,10,Z,2,R,Ga,1,2,gallium-1,1
CrKO,T12Z1L,24,chromium,T,12,Z,1,L,Cr,1,1,chromium-1,1
BaBiO2I,A3Y6A,56,barium,A,3,Y,6,A,Ba,1,1,barium-1,1
TaFeGe,T16Z1L,73,tantalum,T,16,Z,1,L,Ta,1,1,tantalum-1,1
HGaN,B1Z1R,1,hydrogen,B,1,Z,1,R,H,1,1,hydrogen-1,1
BiTeI,T11Z5R,83,bismuth,T,11,Z,5,R,Bi,1,1,bismuth-1,1
KSbO3,B7Y2R,19,potassium,B,7,Y,2,R,K,1,1,potassium-1,1
AgGaS2,B4Z1L,16,sulfur,B,4,Z,1,L,S,2,3,sulfur-1,1
AgGaS2,B4Z1L,16,sulfur,B,4,Z,1,L,S,2,3,sulfur-2,2
TaSbO4,T12Z3L,73,tantalum,T,12,Z,3,L,Ta,1,1,tantalum-1,1
GaAsPd5,T16Z1L,46,palladium,T,16,Z,1,L,Pd,5,3,palladium-1,1
GaAsPd5,T16Z1L,46,palladium,T,16,Z,1,L,Pd,5,3,palladium-2,2
GaAsPd5,T16Z1L,46,palladium,T,16,Z,1,L,Pd,5,3,palladium-3,3
GaAsPd5,T16Z1L,46,palladium,T,16,Z,1,L,Pd,5,3,palladium-4,4
GaAsPd5,T16Z1L,46,palladium,T,16,Z,1,L,Pd,5,3,palladium-5,5
Cu4NiGe2S7,T12Z2L,32,germanium,T,12,Z,2,L,Ge,2,3,germanium-1,1
Cu4NiGe2S7,T12Z2L,32,germanium,T,12,Z,2,L,Ge,2,3,germanium-2,2
BaBiO2I,B15Y2R,53,iodine,B,15,Y,2,R,I,1,4,iodine-1,1
Na2GeSe3,T16Z1L,34,selenium,T,16,Z,1,L,Se,3,3,selenium-1,1
Na2GeSe3,T16Z1L,34,selenium,T,16,Z,1,L,Se,3,3,selenium-2,2
Na2GeSe3,T16Z1L,34,selenium,T,16,Z,1,L,Se,3,3,selenium-3,3
TlAgSe,B17Z1R,34,selenium,B,17,Z,1,R,Se,1,3,selenium-1,1
SrOsO3,A3Y6A,76,osmium,A,3,Y,6,A,Os,1,2,osmium-1,1
Zr2NiP2,A2Y4A,40,zirconium,A,2,Y,4,A,Zr,2,1,zirconium-1,1
Zr2NiP2,A2Y4A,40,zirconium,A,2,Y,4,A,Zr,2,1,zirconium-2,2
Sc7NCl12,T14Y1L,21,scandium,T,14,Y,1,L,Sc,7,1,scandium-1,1
Sc7NCl12,T14Y1L,21,scandium,T,14,Y,1,L,Sc,7,1,scandium-2,2
Sc7NCl12,T14Y1L,21,scandium,T,14,Y,1,L,Sc,7,1,scandium-3,3
Sc7NCl12,T14Y1L,21,scandium,T,14,Y,1,L,Sc,7,1,scandium-4,4
Sc7NCl12,T14Y1L,21,scandium,T,14,Y,1,L,Sc,7,1,scandium-5,5
Sc7NCl12,T14Y1L,21,scandium,T,14,Y,1,L,Sc,7,1,scandium-6,6
Sc7NCl12,T14Y1L,21,scandium,T,14,Y,1,L,Sc,7,1,scandium-7,7
Te2OsCl12,T11Z2R,52,tellurium,T,11,Z,2,R,Te,2,1,tellurium-1,1
Te2OsCl12,T11Z2R,52,tellurium,T,11,Z,2,R,Te,2,1,tellurium-2,2
SrMnGe,T6Y4L,38,strontium,T,6,Y,4,L,Sr,1,1,strontium-1,1
ClSY,V1Z2V,17,chlorine,V,1,Z,2,V,Cl,1,1,chlorine-1,1
YGeRh,B17Z1R,32,germanium,B,17,Z,1,R,Ge,1,2,germanium-1,1
Nb2SnO6,V3Y4V,50,tin,V,3,Y,4,V,Sn,1,2,tin-1,1
AlBaF5,T6Y1L,13,aluminium,T,6,Y,1,L,Al,1,1,aluminium-1,1
H2AuSn,T12Z4L,79,gold,T,12,Z,4,L,Au,1,2,gold-1,1
BaClF,B7Y6R,56,barium,B,7,Y,6,R,Ba,1,1,barium-1,1
RbGeBr3,B15Y2R,32,germanium,B,15,Y,2,R,Ge,1,2,germanium-1,1
PPbS3,T12Z3L,82,lead,T,12,Z,3,L,Pb,1,2,lead-1,1
HgPSe3,B13Z4L,80,mercury,B,13,Z,4,L,Hg,1,1,mercury-1,1
Al2HgSe4,B15Y2R,34,selenium,B,15,Y,2,R,Se,4,3,selenium-1,1
Al2HgSe4,B15Y2R,34,selenium,B,15,Y,2,R,Se,4,3,selenium-2,2
Al2HgSe4,B15Y2R,34,selenium,B,15,Y,2,R,Se,4,3,selenium-3,3
Al2HgSe4,B15Y2R,34,selenium,B,15,Y,2,R,Se,4,3,selenium-4,4
TaNO,T14Y3L,73,tantalum,T,14,Y,3,L,Ta,1,1,tantalum-1,1
TlPPt5,B10Z4R,81,thallium,B,10,Z,4,R,Tl,1,1,thallium-1,1
Cr2CdSe4,B17Z1R,34,selenium,B,17,Z,1,R,Se,4,3,selenium-1,1
Cr2CdSe4,B17Z1R,34,selenium,B,17,Z,1,R,Se,4,3,selenium-2,2
Cr2CdSe4,B17Z1R,34,selenium,B,17,Z,1,R,Se,4,3,selenium-3,3
Cr2CdSe4,B17Z1R,34,selenium,B,17,Z,1,R,Se,4,3,selenium-4,4
YGeAu,A3Y2A,32,germanium,A,3,Y,2,A,Ge,1,2,germanium-1,1
KSbSe2,B17Z1R,51,antimony,B,17,Z,1,R,Sb,1,2,antimony-1,1
LiTaO3,T14Y3L,73,tantalum,T,14,Y,3,L,Ta,1,2,tantalum-1,1
